geo,wst_oper,unit,year,value
ES,RCY_C_D,KG_HAB,2014.0,62.0
EU27_2020,RCY_C_D,KG_HAB,2014.0,74.0
ES,RCY_M,KG_HAB,2014.0,76.0
EU27_2020,RCY_M,KG_HAB,2014.0,134.0
ES,TRT,KG_HAB,2014.0,448.0
EU27_2020,TRT,KG_HAB,2014.0,469.0
ES,DSP_I,KG_HAB,2015.0,0.0
EU27_2020,DSP_I,KG_HAB,2015.0,18.0
ES,DSP_I_RCV_E,KG_HAB,2015.0,58.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2015.0,129.0
ES,DSP_L_OTH,KG_HAB,2015.0,261.0
EU27_2020,DSP_L_OTH,KG_HAB,2015.0,127.0
ES,GEN,KG_HAB,2015.0,456.0
EU27_2020,GEN,KG_HAB,2015.0,481.0
ES,RCV_E,KG_HAB,2015.0,58.0
EU27_2020,RCV_E,KG_HAB,2015.0,110.0
ES,RCY,KG_HAB,2015.0,137.0
EU27_2020,RCY,KG_HAB,2015.0,216.0
ES,RCY_C_D,KG_HAB,2015.0,53.0
EU27_2020,RCY_C_D,KG_HAB,2015.0,75.0
ES,RCY_M,KG_HAB,2015.0,84.0
EU27_2020,RCY_M,KG_HAB,2015.0,141.0
ES,TRT,KG_HAB,2015.0,456.0
EU27_2020,TRT,KG_HAB,2015.0,472.0
ES,DSP_I,KG_HAB,2016.0,0.0
EU27_2020,DSP_I,KG_HAB,2016.0,11.0
ES,DSP_I_RCV_E,KG_HAB,2016.0,56.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2016.0,130.0
ES,DSP_L_OTH,KG_HAB,2016.0,251.0
EU27_2020,DSP_L_OTH,KG_HAB,2016.0,128.0
ES,GEN,KG_HAB,2016.0,464.0
EU27_2020,GEN,KG_HAB,2016.0,494.0
ES,RCV_E,KG_HAB,2016.0,56.0
EU27_2020,RCV_E,KG_HAB,2016.0,119.0
ES,RCY,KG_HAB,2016.0,157.0
EU27_2020,RCY,KG_HAB,2016.0,227.0
ES,RCY_C_D,KG_HAB,2016.0,72.0
EU27_2020,RCY_C_D,KG_HAB,2016.0,81.0
ES,RCY_M,KG_HAB,2016.0,85.0
EU27_2020,RCY_M,KG_HAB,2016.0,145.0
ES,TRT,KG_HAB,2016.0,464.0
EU27_2020,TRT,KG_HAB,2016.0,485.0
ES,DSP_I,KG_HAB,2017.0,0.0
EU27_2020,DSP_I,KG_HAB,2017.0,3.0
ES,DSP_I_RCV_E,KG_HAB,2017.0,60.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2017.0,132.0
ES,DSP_L_OTH,KG_HAB,2017.0,242.0
EU27_2020,DSP_L_OTH,KG_HAB,2017.0,127.0
ES,GEN,KG_HAB,2017.0,473.0
EU27_2020,GEN,KG_HAB,2017.0,500.0
ES,RCV_E,KG_HAB,2017.0,60.0
EU27_2020,RCV_E,KG_HAB,2017.0,129.0
ES,RCY,KG_HAB,2017.0,171.0
EU27_2020,RCY,KG_HAB,2017.0,231.0
ES,RCY_C_D,KG_HAB,2017.0,84.0
EU27_2020,RCY_C_D,KG_HAB,2017.0,84.0
ES,RCY_M,KG_HAB,2017.0,87.0
EU27_2020,RCY_M,KG_HAB,2017.0,147.0
ES,TRT,KG_HAB,2017.0,473.0
EU27_2020,TRT,KG_HAB,2017.0,491.0
ES,DSP_I,KG_HAB,2018.0,0.0
EU27_2020,DSP_I,KG_HAB,2018.0,2.0
ES,DSP_I_RCV_E,KG_HAB,2018.0,55.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2018.0,131.0
ES,DSP_L_OTH,KG_HAB,2018.0,255.0
EU27_2020,DSP_L_OTH,KG_HAB,2018.0,125.0
ES,GEN,KG_HAB,2018.0,475.0
EU27_2020,GEN,KG_HAB,2018.0,500.0
ES,RCV_E,KG_HAB,2018.0,55.0
EU27_2020,RCV_E,KG_HAB,2018.0,128.0
ES,RCY,KG_HAB,2018.0,165.0
EU27_2020,RCY,KG_HAB,2018.0,232.0
ES,RCY_C_D,KG_HAB,2018.0,80.0
EU27_2020,RCY_C_D,KG_HAB,2018.0,84.0
ES,RCY_M,KG_HAB,2018.0,86.0
EU27_2020,RCY_M,KG_HAB,2018.0,147.0
ES,TRT,KG_HAB,2018.0,475.0
EU27_2020,TRT,KG_HAB,2018.0,489.0
ES,DSP_I,KG_HAB,2019.0,0.0
EU27_2020,DSP_I,KG_HAB,2019.0,2.0
ES,DSP_I_RCV_E,KG_HAB,2019.0,52.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2019.0,131.0
ES,DSP_L_OTH,KG_HAB,2019.0,241.0
EU27_2020,DSP_L_OTH,KG_HAB,2019.0,124.0
ES,GEN,KG_HAB,2019.0,472.0
EU27_2020,GEN,KG_HAB,2019.0,505.0
ES,RCV_E,KG_HAB,2019.0,52.0
EU27_2020,RCV_E,KG_HAB,2019.0,129.0
ES,RCY,KG_HAB,2019.0,179.0
EU27_2020,RCY,KG_HAB,2019.0,238.0
ES,RCY_C_D,KG_HAB,2019.0,86.0
EU27_2020,RCY_C_D,KG_HAB,2019.0,88.0
ES,RCY_M,KG_HAB,2019.0,93.0
EU27_2020,RCY_M,KG_HAB,2019.0,150.0
ES,TRT,KG_HAB,2019.0,472.0
EU27_2020,TRT,KG_HAB,2019.0,494.0
ES,DSP_I,KG_HAB,2020.0,0.0
EU27_2020,DSP_I,KG_HAB,2020.0,3.0
ES,DSP_I_RCV_E,KG_HAB,2020.0,47.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2020.0,138.0
ES,DSP_L_OTH,KG_HAB,2020.0,229.0
EU27_2020,DSP_L_OTH,KG_HAB,2020.0,122.0
ES,GEN,KG_HAB,2020.0,463.0
EU27_2020,GEN,KG_HAB,2020.0,521.0
ES,RCV_E,KG_HAB,2020.0,47.0
EU27_2020,RCV_E,KG_HAB,2020.0,135.0
ES,RCY,KG_HAB,2020.0,187.0
EU27_2020,RCY,KG_HAB,2020.0,255.0
ES,RCY_C_D,KG_HAB,2020.0,93.0
EU27_2020,RCY_C_D,KG_HAB,2020.0,97.0
ES,RCY_M,KG_HAB,2020.0,94.0
EU27_2020,RCY_M,KG_HAB,2020.0,156.0
ES,TRT,KG_HAB,2020.0,463.0
EU27_2020,TRT,KG_HAB,2020.0,512.0
ES,DSP_I,KG_HAB,2021.0,0.0
EU27_2020,DSP_I,KG_HAB,2021.0,3.0
ES,DSP_I_RCV_E,KG_HAB,2021.0,51.0
EU27_2020,DSP_I_RCV_E,KG_HAB,2021.0,138.0
ES,DSP_L_OTH,KG_HAB,2021.0,220.0
EU27_2020,DSP_L_OTH,KG_HAB,2021.0,117.0
